Year,Volume,Issue,Title,Authors,DOI,Link
1976,1,1,Editorial Comment.,,10.5465/amr.1976.19369636,https://journals.aom.org/doi/10.5465/amr.1976.19369636
1976,1,1,Organizational Logic for Concurrent Government in Metropolitan Areas,Herman L. Boschken,10.5465/amr.1976.4408737,https://journals.aom.org/doi/10.5465/amr.1976.4408737
1976,1,1,Japanese Management — A Critical Review,Tai K. Oh,10.5465/amr.1976.4408742,https://journals.aom.org/doi/10.5465/amr.1976.4408742
1976,1,1,A Model for New Venture Initiation: A Discourse on Rapacity and the Independent Entrepreneur,Frederick A. Webster,10.5465/amr.1976.4408750,https://journals.aom.org/doi/10.5465/amr.1976.4408750
1976,1,1,Achieving Corporate Social Responsibility,H. Gordon Fitch,10.5465/amr.1976.4408754,https://journals.aom.org/doi/10.5465/amr.1976.4408754
1976,1,1,Certain See,Wu-Hsin,10.5465/amr.1976.4408756,https://journals.aom.org/doi/10.5465/amr.1976.4408756
1976,1,1,Hypothesis of Work Behavior Revisited and an Extension,Abraham K. Korman,10.5465/amr.1976.4408762,https://journals.aom.org/doi/10.5465/amr.1976.4408762
1976,1,1,A Framework For Organization Assessment,Andrew H. Van de Ven,10.5465/amr.1976.4408765,https://journals.aom.org/doi/10.5465/amr.1976.4408765
1976,1,1,Modern Management Applied to Academic Decisions,Michael A. Murray,10.5465/amr.1976.4408769,https://journals.aom.org/doi/10.5465/amr.1976.4408769
1976,1,1,That Word “Organization”,L.F. Urwick,10.5465/amr.1976.4408773,https://journals.aom.org/doi/10.5465/amr.1976.4408773
1976,1,1,One Sociologist's Reply to Wieland's Review Essay,William James Haga,10.5465/amr.1976.4408776,https://journals.aom.org/doi/10.5465/amr.1976.4408776
1976,1,1,Management History Thought,John Douglas; Arthur G. Bedeian,10.5465/amr.1976.4408777,https://journals.aom.org/doi/10.5465/amr.1976.4408777
1976,1,1,Management Education and Development,Theodore T. Herbert,10.5465/amr.1976.28118656,https://journals.aom.org/doi/10.5465/amr.1976.28118656
1976,1,1,Organizational Behavior,Henry Tosi,10.5465/amr.1976.28118669,https://journals.aom.org/doi/10.5465/amr.1976.28118669
1976,1,1,Social Issues in Management,William C. Frederick,10.5465/amr.1976.28118670,https://journals.aom.org/doi/10.5465/amr.1976.28118670
1976,1,1,International Management,Richard J. Fleming,10.5465/amr.1976.28118671,https://journals.aom.org/doi/10.5465/amr.1976.28118671
1976,1,2,Hypothesis Creation in Organizational Behavior Research,Craig C. Lundberg,10.5465/amr.1976.4408646,https://journals.aom.org/doi/10.5465/amr.1976.4408646
1976,1,2,The Moral Codes of Executives: A Watergate-inspired Look at Barnard's Theory of Executive Responsibility,George Strother,10.5465/amr.1976.4408658,https://journals.aom.org/doi/10.5465/amr.1976.4408658
1976,1,2,A Theoretical Analysis of the Impact of Task Scope on Employee Performance,Donald P. Schwab; L. L. Cummings,10.5465/amr.1976.4408660,https://journals.aom.org/doi/10.5465/amr.1976.4408660
1976,1,2,Beyond Management and the Worker: The Institutional Function of Management,Jeffrey Pfeffer,10.5465/amr.1976.4408661,https://journals.aom.org/doi/10.5465/amr.1976.4408661
1976,1,2,The Effects and Effectiveness of Simulations in Business Policy Teaching Applications,Joseph Wolfe,10.5465/amr.1976.4408663,https://journals.aom.org/doi/10.5465/amr.1976.4408663
1976,1,2,Organization Development: A Review of Research Content and Research Design,Sam E. White; Terence R. Mitchell,10.5465/amr.1976.4408665,https://journals.aom.org/doi/10.5465/amr.1976.4408665
1976,1,2,Human Resource Accounting: A Measurement Perspective,Philip H. Mirvis; Barry A. Macy,10.5465/amr.1976.4408668,https://journals.aom.org/doi/10.5465/amr.1976.4408668
1976,1,2,Models for Decision Making in Organizations and Some Contextual Variables Which Stipulate Optimal Use,Paul C. Nutt,10.5465/amr.1976.4408670,https://journals.aom.org/doi/10.5465/amr.1976.4408670
1976,1,2,Creativity Techniques: Toward Improvement of the Decision Process,Irvin Summers; David E. White,10.5465/amr.1976.4408672,https://journals.aom.org/doi/10.5465/amr.1976.4408672
1976,1,2,Participative Organization Diagnosis and Intervention Strategies: Developing Emergent Pragmatic Theories of Change,Noel M. Tichy; Harvey Hornstein; Jay N. Nisberg; Jay Lorsch,10.5465/amr.1976.4408677,https://journals.aom.org/doi/10.5465/amr.1976.4408677
